JournalFullName,ISSN,2022IF,2022AI,
JOURNAL OF KING SAUD UNIVERSITY-COMPUTER AND INFORMATION SCIENCES,1319-1578,6.9,0.941,
JOURNAL OF KNEE SURGERY,1538-8506,1.7,0.664,
JOURNAL OF KNOT THEORY AND ITS RAMIFICATIONS,0218-2165,0.5,0.325,
JOURNAL OF KNOWLEDGE MANAGEMENT,1367-3270,7,1.157,
JOURNAL OF KOREA TRADE,1229-828X,0.5,0.065,
JOURNAL OF KOREAN ACADEMY OF NURSING,2005-3673,1.5,0.244,
JOURNAL OF KOREAN MEDICAL SCIENCE,1011-8934,4.5,0.788,
JOURNAL OF KOREAN NEUROSURGICAL SOCIETY,2005-3711,1.6,0.44,
JOURNAL OF KOREAN RELIGIONS,2093-7288,0.4,0.329,
JOURNAL OF KOREAN SOCIETY FOR ATMOSPHERIC ENVIRONMENT,1598-7132,1,0.082,
JOURNAL OF KOREAN STUDIES,0731-1613,0.3,0.399,
JOURNAL OF KRISHNA INSTITUTE OF MEDICAL SCIENCES UNIVERSITY,2231-4261,0.3,0.024,
JOURNAL OF LABELLED COMPOUNDS & RADIOPHARMACEUTICALS,0362-4803,1.8,0.359,
JOURNAL OF LABOR AND SOCIETY,2471-4607,1.3,0.435,
JOURNAL OF LABOR ECONOMICS,0734-306X,3.8,6.241,
JOURNAL OF LABOR RESEARCH,0195-3613,0.8,0.492,
JOURNAL OF LABORATORY MEDICINE,2567-9430,1.2,0.236,
JOURNAL OF LABORATORY PHYSICIANS,0974-2727,1.1,0,
JOURNAL OF LAND USE SCIENCE,1747-423X,3.2,0.705,
JOURNAL OF LANDSCAPE ARCHITECTURE,1862-6033,0.6,0.163,
JOURNAL OF LANGUAGE AGGRESSION AND CONFLICT,2213-1272,1.1,0.809,
JOURNAL OF LANGUAGE AND CULTURAL EDUCATION,1339-4045,0.1,0.087,
JOURNAL OF LANGUAGE AND EDUCATION,2411-7390,0.7,0.156,
JOURNAL OF LANGUAGE AND LITERACY EDUCATION,1559-9035,0.5,0.387,
JOURNAL OF LANGUAGE AND POLITICS,1569-2159,1.3,0.705,
JOURNAL OF LANGUAGE AND SEXUALITY,2211-3770,2.1,0,
JOURNAL OF LANGUAGE AND SOCIAL PSYCHOLOGY,0261-927X,2.1,0.973,
JOURNAL OF LANGUAGE CONTACT,1877-4091,0.4,0.231,
JOURNAL OF LANGUAGE EVOLUTION,2058-4571,2.6,0.88,
JOURNAL OF LANGUAGE IDENTITY AND EDUCATION,1534-8458,1.7,0.792,
JOURNAL OF LANGUAGE LITERATURE AND CULTURE,2051-2856,0.1,0.055,
JOURNAL OF LANGUAGE TEACHING AND LEARNING,2146-1732,3.6,0.944,
JOURNAL OF LAPAROENDOSCOPIC & ADVANCED SURGICAL TECHNIQUES,1092-6429,1.3,0.407,
JOURNAL OF LARYNGOLOGY AND OTOLOGY,0022-2151,1.7,0.403,
JOURNAL OF LASER APPLICATIONS,1042-346X,2.1,0.319,
JOURNAL OF LASER MICRO NANOENGINEERING,1880-0688,1.1,0.147,
JOURNAL OF LASERS IN MEDICAL SCIENCES,2008-9783,1.5,0.291,
JOURNAL OF LATE ANTIQUITY,1939-6716,0.2,0.354,
JOURNAL OF LATIN AMERICAN AND CARIBBEAN ANTHROPOLOGY,1935-4932,1.3,0.602,
JOURNAL OF LATIN AMERICAN CULTURAL STUDIES,1356-9325,0.3,0.274,
JOURNAL OF LATIN AMERICAN GEOGRAPHY,1545-2476,1.1,0.416,
JOURNAL OF LATIN AMERICAN STUDIES,0022-216X,1.1,0.774,
JOURNAL OF LATIN LINGUISTICS,2194-8739,0.4,0,
JOURNAL OF LATINOS AND EDUCATION,1534-8431,0.9,0.502,
JOURNAL OF LATINX PSYCHOLOGY,2578-8086,2.6,0.858,
JOURNAL OF LAW & ECONOMICS,0022-2186,2.2,2.651,
JOURNAL OF LAW AND COURTS,2164-6570,1.4,0.833,
JOURNAL OF LAW AND POLITICAL SCIENCES,2222-7288,0.2,0.035,
JOURNAL OF LAW AND SOCIAL DEVIANCE,2165-5219,0.6,0.016,
JOURNAL OF LAW AND SOCIETY,0263-323X,1.3,0.502,
JOURNAL OF LAW AND THE BIOSCIENCES,2053-9711,3.4,1.218,
JOURNAL OF LAW ECONOMICS & ORGANIZATION,8756-6222,1.1,1.495,
JOURNAL OF LAW FINANCE AND ACCOUNTING,2380-5005,0.9,1.911,
JOURNAL OF LAW MEDICINE & ETHICS,1073-1105,2.1,0.887,
JOURNAL OF LEADERSHIP & ORGANIZATIONAL STUDIES,1548-0518,4.8,1.274,
JOURNAL OF LEADERSHIP STUDIES,1935-2611,1.5,0.261,
JOURNAL OF LEARNING ANALYTICS,1929-7750,3.9,0,
JOURNAL OF LEARNING DISABILITIES,0022-2194,3,1.131,
JOURNAL OF LEARNING STYLES,2332-8533,0.1,0.015,
JOURNAL OF LEGAL AFFAIRS AND DISPUTE RESOLUTION IN ENGINEERING AND CONSTRUCTION,1943-4162,2.5,0.243,
JOURNAL OF LEGAL ANALYSIS,2161-7201,2.2,1.989,
JOURNAL OF LEGAL EDUCATION,0022-2208,0.2,0.163,
JOURNAL OF LEGAL HISTORY,0144-0365,0.4,0.153,
JOURNAL OF LEGAL MEDICINE,0194-7648,0.4,0.245,
JOURNAL OF LEGAL PLURALISM AND UNOFFICIAL LAW,0732-9113,0.6,0.446,
JOURNAL OF LEGAL STUDIES,0047-2530,1,0.746,
JOURNAL OF LEGAL STUDIES EDUCATION,0896-5811,0.4,0.051,
JOURNAL OF LEGISLATIVE STUDIES,1357-2334,1,0.631,
JOURNAL OF LEISURE RESEARCH,0022-2216,3.2,0.643,
JOURNAL OF LESBIAN STUDIES,1089-4160,1.1,0.624,
JOURNAL OF LEUKOCYTE BIOLOGY,0741-5400,5.5,1.289,
JOURNAL OF LGBT YOUTH,1936-1653,2.4,0.763,
JOURNAL OF LGBTQ ISSUES IN COUNSELING,1553-8605,1.1,0.533,
JOURNAL OF LIBRARIANSHIP AND INFORMATION SCIENCE,0961-0006,1.7,0.449,
JOURNAL OF LIBRARY ADMINISTRATION,0193-0826,1.4,0.278,
JOURNAL OF LIBRARY AND INFORMATION STUDIES,1606-7509,0.2,0.037,
JOURNAL OF LIE THEORY,0949-5932,0.4,0.317,
JOURNAL OF LIGHTWAVE TECHNOLOGY,0733-8724,4.7,0.906,
JOURNAL OF LIMB LENGTHENING & RECONSTRUCTION,2455-3719,0.6,0,
JOURNAL OF LIMNOLOGY,1129-5767,1.6,0.34,
JOURNAL OF LINGUISTIC ANTHROPOLOGY,1055-1360,0.8,0.46,
JOURNAL OF LINGUISTICS,0022-2267,1.1,0.854,
JOURNAL OF LIPID RESEARCH,0022-2275,6.5,1.561,
JOURNAL OF LIPIDS,2090-3030,5.3,0.755,
JOURNAL OF LIPOSOME RESEARCH,0898-2104,4.4,0.51,
JOURNAL OF LIQUID CHROMATOGRAPHY & RELATED TECHNOLOGIES,1082-6076,1.3,0.184,
JOURNAL OF LITERACY RESEARCH,1086-296X,2.6,1.329,
JOURNAL OF LITERARY SEMANTICS,0341-7638,1,0.574,
JOURNAL OF LITERARY STUDIES,0256-4718,0.2,0.103,
JOURNAL OF LITERARY THEORY,1862-5290,0.2,0.623,
JOURNAL OF LITHIC STUDIES,2055-0472,1,0.305,
JOURNAL OF LIVESTOCK SCIENCE,2277-6214,0.4,0.044,
JOURNAL OF LOCATION BASED SERVICES,1748-9725,2.3,0.466,
JOURNAL OF LOGIC AND ANALYSIS,1759-9008,0.2,0.328,
JOURNAL OF LOGIC AND COMPUTATION,0955-792X,0.7,0.383,
JOURNAL OF LOGIC LANGUAGE AND INFORMATION,0925-8531,0.8,0.362,
JOURNAL OF LOGICAL AND ALGEBRAIC METHODS IN PROGRAMMING,2352-2208,0.9,0.331,
JOURNAL OF LOSS & TRAUMA,1532-5024,4.7,0.731,
JOURNAL OF LOSS PREVENTION IN THE PROCESS INDUSTRIES,0950-4230,3.5,0.533,
JOURNAL OF LOW FREQUENCY NOISE VIBRATION AND ACTIVE CONTROL,1461-3484,2.3,0.358,
JOURNAL OF LOW POWER ELECTRONICS AND APPLICATIONS,2079-9268,2.1,0,
JOURNAL OF LOW TEMPERATURE PHYSICS,0022-2291,2,0.323,
JOURNAL OF LOWER GENITAL TRACT DISEASE,1089-2591,3.7,0.848,
JOURNAL OF LUMINESCENCE,0022-2313,3.6,0.423,
JOURNAL OF MACHINE LEARNING RESEARCH,1532-4435,6,3.375,
JOURNAL OF MACHINERY MANUFACTURE AND RELIABILITY,1052-6188,0.3,0.037,
JOURNAL OF MACROECONOMICS,0164-0704,1.4,0.685,
JOURNAL OF MACROMARKETING,0276-1467,3.1,0.573,
JOURNAL OF MACROMOLECULAR SCIENCE PART A-PURE AND APPLIED CHEMISTRY,1060-1325,2.5,0.218,
JOURNAL OF MACROMOLECULAR SCIENCE PART B-PHYSICS,0022-2348,1.4,0.139,
JOURNAL OF MAGNESIUM AND ALLOYS,2213-9567,17.6,2.012,
JOURNAL OF MAGNETIC RESONANCE,1090-7807,2.2,0.643,
JOURNAL OF MAGNETIC RESONANCE IMAGING,1053-1807,4.4,1.158,
JOURNAL OF MAGNETICS,1226-1750,0.5,0.092,
JOURNAL OF MAGNETISM AND MAGNETIC MATERIALS,0304-8853,2.7,0.398,
JOURNAL OF MAMMALIAN EVOLUTION,1064-7554,1.9,0.679,
JOURNAL OF MAMMALOGY,0022-2372,1.7,0.661,
JOURNAL OF MAMMARY GLAND BIOLOGY AND NEOPLASIA,1083-3021,2.5,0.807,
JOURNAL OF MANAGED CARE & SPECIALTY PHARMACY,2376-0540,2.1,0.887,
JOURNAL OF MANAGEMENT,0149-2063,13.5,6.042,
JOURNAL OF MANAGEMENT & GOVERNANCE,1385-3457,2.7,0.473,
JOURNAL OF MANAGEMENT & ORGANIZATION,1833-3672,3.3,0.819,
JOURNAL OF MANAGEMENT ACCOUNTING RESEARCH,1049-2127,1.7,0.931,
JOURNAL OF MANAGEMENT ANALYTICS,2327-0012,5.9,0.781,
JOURNAL OF MANAGEMENT CONTROL,2191-4761,3.3,0.564,
JOURNAL OF MANAGEMENT DEVELOPMENT,0262-1711,3.1,0.568,
JOURNAL OF MANAGEMENT EDUCATION,1052-5629,1.4,0.406,
JOURNAL OF MANAGEMENT HISTORY,1751-1348,1.6,0.27,
JOURNAL OF MANAGEMENT IN ENGINEERING,0742-597X,7.4,0.811,
JOURNAL OF MANAGEMENT INFORMATION SYSTEMS,0742-1222,7.7,2.919,
JOURNAL OF MANAGEMENT INQUIRY,1056-4926,3.1,1.483,
JOURNAL OF MANAGEMENT SCIENCE AND ENGINEERING,2096-2320,6.6,0,
JOURNAL OF MANAGEMENT SPIRITUALITY & RELIGION,1476-6086,1.4,0.527,
JOURNAL OF MANAGEMENT STUDIES,0022-2380,10.5,3.873,
JOURNAL OF MANAGERIAL PSYCHOLOGY,0268-3946,3.2,1.045,
JOURNAL OF MANIPULATIVE AND PHYSIOLOGICAL THERAPEUTICS,0161-4754,1.3,0.401,
JOURNAL OF MANUAL & MANIPULATIVE THERAPY,1066-9817,2,0.374,
JOURNAL OF MANUFACTURING AND MATERIALS PROCESSING,2504-4494,3.2,0.539,
JOURNAL OF MANUFACTURING PROCESSES,1526-6125,6.2,0.901,
JOURNAL OF MANUFACTURING SCIENCE AND ENGINEERING-TRANSACTIONS OF THE ASME,1087-1357,4,0.649,
JOURNAL OF MANUFACTURING SYSTEMS,0278-6125,12.1,1.75,
JOURNAL OF MANUFACTURING TECHNOLOGY MANAGEMENT,1741-038X,7.6,1.11,
JOURNAL OF MAP & GEOGRAPHY LIBRARIES,1542-0353,0.6,0.131,
JOURNAL OF MAPS,1744-5647,2.2,0.528,
JOURNAL OF MARINE ENGINEERING AND TECHNOLOGY,2046-4177,2.6,0.373,
JOURNAL OF MARINE MEDICAL SOCIETY,0975-3605,0.3,0,
JOURNAL OF MARINE RESEARCH,0022-2402,0.5,0.324,
JOURNAL OF MARINE SCIENCE AND APPLICATION,1671-9433,1.8,0.309,
JOURNAL OF MARINE SCIENCE AND ENGINEERING,2077-1312,2.9,0.438,
JOURNAL OF MARINE SCIENCE AND TECHNOLOGY,0948-4280,2.6,0.412,
JOURNAL OF MARINE SCIENCE AND TECHNOLOGY-TAIWAN,1023-2796,0.5,0.108,
JOURNAL OF MARINE SYSTEMS,0924-7963,2.8,0.702,
JOURNAL OF MARITAL AND FAMILY THERAPY,0194-472X,2.2,0.651,
JOURNAL OF MARITIME ARCHAEOLOGY,1557-2285,0.6,0.315,
JOURNAL OF MARKETING,0022-2429,12.9,5.375,
JOURNAL OF MARKETING ANALYTICS,2050-3318,3,0,
JOURNAL OF MARKETING CHANNELS,1046-669X,0.7,0,
JOURNAL OF MARKETING EDUCATION,0273-4753,2.4,0.466,
JOURNAL OF MARKETING FOR HIGHER EDUCATION,0884-1241,3.3,0.389,
JOURNAL OF MARKETING MANAGEMENT,0267-257X,4.4,1.106,
JOURNAL OF MARKETING RESEARCH,0022-2437,6.1,4.252,
JOURNAL OF MARKETING THEORY AND PRACTICE,1069-6679,3,0.666,
JOURNAL OF MARRIAGE AND FAMILY,0022-2445,6,2.119,
JOURNAL OF MASS SPECTROMETRY,1076-5174,2.3,0.374,
JOURNAL OF MASS SPECTROMETRY AND ADVANCES IN THE CLINICAL LAB,2667-145X,2.2,0.381,
JOURNAL OF MATERIAL CULTURE,1359-1835,0.9,0.658,
JOURNAL OF MATERIAL CYCLES AND WASTE MANAGEMENT,1438-4957,3.1,0.41,
JOURNAL OF MATERIALS AND ENGINEERING STRUCTURES,2170-127X,0.6,0.083,
JOURNAL OF MATERIALS CHEMISTRY A,2050-7488,11.9,2.108,
JOURNAL OF MATERIALS CHEMISTRY B,2050-750X,7,0.951,
JOURNAL OF MATERIALS CHEMISTRY C,2050-7526,6.4,1.163,
JOURNAL OF MATERIALS ENGINEERING AND PERFORMANCE,1059-9495,2.3,0.311,
JOURNAL OF MATERIALS IN CIVIL ENGINEERING,0899-1561,3.2,0.674,
JOURNAL OF MATERIALS PROCESSING TECHNOLOGY,0924-0136,6.3,1.02,
JOURNAL OF MATERIALS RESEARCH,0884-2914,2.7,0.539,
JOURNAL OF MATERIALS RESEARCH AND TECHNOLOGY-JMR&T,2238-7854,6.4,0.809,
JOURNAL OF MATERIALS SCIENCE,0022-2461,4.5,0.627,
JOURNAL OF MATERIALS SCIENCE & TECHNOLOGY,1005-0302,10.9,1.513,
JOURNAL OF MATERIALS SCIENCE-MATERIALS IN ELECTRONICS,0957-4522,2.8,0.306,
JOURNAL OF MATERIALS SCIENCE-MATERIALS IN MEDICINE,0957-4530,3.7,0.497,
JOURNAL OF MATERIOMICS,2352-8478,9.4,1.528,
JOURNAL OF MATERNAL-FETAL & NEONATAL MEDICINE,1476-7058,1.8,0.502,
JOURNAL OF MATHEMATICAL ANALYSIS,2217-3412,0.7,0.178,
JOURNAL OF MATHEMATICAL ANALYSIS AND APPLICATIONS,0022-247X,1.3,0.671,
JOURNAL OF MATHEMATICAL AND FUNDAMENTAL SCIENCES,2337-5760,0.7,0.132,
JOURNAL OF MATHEMATICAL BEHAVIOR,0732-3123,1.7,0.695,
JOURNAL OF MATHEMATICAL BIOLOGY,0303-6812,1.9,0.802,
JOURNAL OF MATHEMATICAL CHEMISTRY,0259-9791,1.7,0.253,
JOURNAL OF MATHEMATICAL CRYPTOLOGY,1862-2976,1.2,0.376,
JOURNAL OF MATHEMATICAL ECONOMICS,0304-4068,1.3,0.718,
JOURNAL OF MATHEMATICAL EXTENSION,1735-8299,0.5,0.077,
JOURNAL OF MATHEMATICAL FLUID MECHANICS,1422-6928,1.3,0.791,
JOURNAL OF MATHEMATICAL IMAGING AND VISION,0924-9907,2,0.622,
JOURNAL OF MATHEMATICAL INEQUALITIES,1846-579X,2.9,0.432,
JOURNAL OF MATHEMATICAL LOGIC,0219-0613,0.9,1.467,
JOURNAL OF MATHEMATICAL NEUROSCIENCE,2190-8567,2.3,0.802,
JOURNAL OF MATHEMATICAL PHYSICS,0022-2488,1.3,0.647,
JOURNAL OF MATHEMATICAL PHYSICS ANALYSIS GEOMETRY,1812-9471,0.5,0.328,
JOURNAL OF MATHEMATICAL PSYCHOLOGY,0022-2496,1.8,1.075,
JOURNAL OF MATHEMATICAL SOCIOLOGY,0022-250X,1,0.353,
JOURNAL OF MATHEMATICAL STUDY,2096-9856,0.8,0.343,
JOURNAL OF MATHEMATICS,2314-4629,1.4,0.202,
JOURNAL OF MATHEMATICS AND COMPUTER SCIENCE-JMCS,2008-949X,2.5,0.314,
JOURNAL OF MATHEMATICS AND MUSIC,1745-9737,1.1,0.155,
JOURNAL OF MATHEMATICS AND THE ARTS,1751-3472,0.2,0.122,
JOURNAL OF MATHEMATICS IN INDUSTRY,2190-5983,2.6,0.525,
JOURNAL OF MATHEMATICS MECHANICS AND COMPUTER SCIENCE,1563-0277,0.1,0,
JOURNAL OF MATHEMATICS TEACHER EDUCATION,1386-4416,2.1,0.836,
JOURNAL OF MAXILLOFACIAL & ORAL SURGERY,0972-8279,0.9,0.225,
JOURNAL OF MEASUREMENT AND EVALUATION IN EDUCATION AND PSYCHOLOGY-EPOD,1309-6575,0.5,0.15,
JOURNAL OF MEASUREMENTS IN ENGINEERING,2335-2124,1.6,0.13,
JOURNAL OF MECHANICAL DESIGN,1050-0472,3.3,0.712,
JOURNAL OF MECHANICAL ENGINEERING AND SCIENCES,2289-4659,1.1,0.187,
JOURNAL OF MECHANICAL SCIENCE AND TECHNOLOGY,1738-494X,1.6,0.273,
JOURNAL OF MECHANICS,1727-7191,1.7,0.224,
JOURNAL OF MECHANICS IN MEDICINE AND BIOLOGY,0219-5194,0.8,0.138,
JOURNAL OF MECHANICS OF MATERIALS AND STRUCTURES,1559-3959,0.9,0.221,
JOURNAL OF MECHANISMS AND ROBOTICS-TRANSACTIONS OF THE ASME,1942-4302,2.6,0.553,
JOURNAL OF MEDIA AND RELIGION,1534-8423,0.8,0.225,
JOURNAL OF MEDIA BUSINESS STUDIES,1652-2354,1.3,0.435,
JOURNAL OF MEDIA ECONOMICS,0899-7764,0.3,0,
JOURNAL OF MEDIA ETHICS,2373-6992,1.9,0.464,
JOURNAL OF MEDIA PSYCHOLOGY-THEORIES METHODS AND APPLICATIONS,1864-1105,1.7,0.878,
JOURNAL OF MEDICAL AND BIOLOGICAL ENGINEERING,1609-0985,2,0.303,
JOURNAL OF MEDICAL AND BIOMEDICAL SCIENCE,2026-6294,0.4,0.122,
JOURNAL OF MEDICAL AND SURGICAL RESEARCH,2351-8200,0.2,0.038,
JOURNAL OF MEDICAL BIOCHEMISTRY,1452-8258,2.5,0.351,
JOURNAL OF MEDICAL BIOGRAPHY,0967-7720,0.2,0.068,
JOURNAL OF MEDICAL CASE REPORTS,1752-1947,1,0,
JOURNAL OF MEDICAL DEVICES-TRANSACTIONS OF THE ASME,1932-6181,0.9,0.223,
JOURNAL OF MEDICAL ECONOMICS,1369-6998,2.4,0.702,
JOURNAL OF MEDICAL EDUCATION AND CURRICULAR DEVELOPMENT,2382-1205,2.8,0.656,
JOURNAL OF MEDICAL ENTOMOLOGY,0022-2585,2.1,0.495,
JOURNAL OF MEDICAL ETHICS,0306-6800,4.1,1.18,
JOURNAL OF MEDICAL ETHICS AND HISTORY OF MEDICINE,2008-0387,1,0.339,
JOURNAL OF MEDICAL GENETICS,0022-2593,4,1.658,
JOURNAL OF MEDICAL HUMANITIES,1041-3545,0.9,0.442,
JOURNAL OF MEDICAL IMAGING,2329-4302,2.4,0.714,
JOURNAL OF MEDICAL IMAGING AND RADIATION ONCOLOGY,1754-9477,1.6,0.427,
JOURNAL OF MEDICAL IMAGING AND RADIATION SCIENCES,1939-8654,1.8,0.386,
JOURNAL OF MEDICAL INTERNET RESEARCH,1438-8871,7.4,1.777,
JOURNAL OF MEDICAL INVESTIGATION,1343-1420,0.7,0.22,
JOURNAL OF MEDICAL MICROBIOLOGY,0022-2615,3,0.579,
JOURNAL OF MEDICAL PHYSICS,0971-6203,0.9,0.199,
JOURNAL OF MEDICAL PRIMATOLOGY,0047-2565,0.7,0.142,
JOURNAL OF MEDICAL RADIATION SCIENCES,2051-3895,2.1,0.608,
JOURNAL OF MEDICAL SCREENING,0969-1413,2.9,0.741,
JOURNAL OF MEDICAL SYSTEMS,0148-5598,5.3,0.918,
JOURNAL OF MEDICAL TOXICOLOGY,1556-9039,2.9,0.974,
JOURNAL OF MEDICAL ULTRASONICS,1346-4523,1.8,0.325,
JOURNAL OF MEDICAL ULTRASOUND,0929-6441,1.1,0.3,
JOURNAL OF MEDICAL VIROLOGY,0146-6615,12.7,1.815,
JOURNAL OF MEDICINAL CHEMISTRY,0022-2623,7.3,1.585,
JOURNAL OF MEDICINAL FOOD,1096-620X,2.4,0.366,
JOURNAL OF MEDICINAL PLANTS AND BY-PRODUCTS-JMPB,2322-1399,0.6,0.079,
JOURNAL OF MEDICINE AND PHILOSOPHY,0360-5310,1.6,0.635,
JOURNAL OF MEDIEVAL AND EARLY MODERN STUDIES,1082-9636,0.2,0.871,
JOURNAL OF MEDIEVAL HISTORY,0304-4181,0.4,0.613,
JOURNAL OF MEDIEVAL IBERIAN STUDIES,1754-6559,0.5,0.423,
JOURNAL OF MEDIEVAL RELIGIOUS CULTURES,1947-6566,0.1,0.082,
JOURNAL OF MEDITERRANEAN ARCHAEOLOGY,0952-7648,0.8,0.459,
JOURNAL OF MEHMET AKIF ERSOY UNIVERSITY ECONOMICS AND ADMINISTRATIVE SCIENCES FACULTY,2149-1658,0.2,0.017,
JOURNAL OF MEMBRANE BIOLOGY,0022-2631,2.4,0.514,
JOURNAL OF MEMBRANE COMPUTING,2523-8906,3.8,1.035,
JOURNAL OF MEMBRANE SCIENCE,0376-7388,9.5,1.12,
JOURNAL OF MEMORY AND LANGUAGE,0749-596X,4.3,1.935,
JOURNAL OF MENS HEALTH,1875-6867,0.7,0.074,
JOURNAL OF MENTAL HEALTH,0963-8237,3.3,1.08,
JOURNAL OF MENTAL HEALTH AND HUMAN BEHAVIOUR,0971-8990,0.5,0,
JOURNAL OF MENTAL HEALTH POLICY AND ECONOMICS,1091-4358,1.6,0.34,
JOURNAL OF MENTAL HEALTH RESEARCH IN INTELLECTUAL DISABILITIES,1931-5864,2.5,0.722,
JOURNAL OF MENTAL HEALTH TRAINING EDUCATION AND PRACTICE,1755-6228,1,0.291,
JOURNAL OF METALS MATERIALS AND MINERALS,0857-6149,0.9,0.106,
JOURNAL OF METAMORPHIC GEOLOGY,0263-4929,3.4,1.394,
JOURNAL OF METEOROLOGICAL RESEARCH,2095-6037,3.2,0.785,
JOURNAL OF MICRO AND NANO-MANUFACTURING,2166-0468,1,0.274,
JOURNAL OF MICRO-BIO ROBOTICS,2194-6418,2.3,0.516,
JOURNAL OF MICRO-NANOLITHOGRAPHY MEMS AND MOEMS,1932-5150,2,0.259,
JOURNAL OF MICRO-NANOPATTERNING MATERIALS AND METROLOGY-JM3,1932-5150,2.3,0.221,
JOURNAL OF MICROBIOLOGICAL METHODS,0167-7012,2.2,0.403,
JOURNAL OF MICROBIOLOGY,1225-8873,3,0.767,
JOURNAL OF MICROBIOLOGY & BIOLOGY EDUCATION,1935-7877,1.9,0.349,
JOURNAL OF MICROBIOLOGY AND BIOTECHNOLOGY,1017-7825,2.8,0.456,
JOURNAL OF MICROBIOLOGY BIOTECHNOLOGY AND FOOD SCIENCES,1338-5178,0.9,0.113,
JOURNAL OF MICROBIOLOGY IMMUNOLOGY AND INFECTION,1684-1182,7.4,1.07,
JOURNAL OF MICROELECTROMECHANICAL SYSTEMS,1057-7157,2.7,0.534,
JOURNAL OF MICROENCAPSULATION,0265-2048,3.9,0.44,
JOURNAL OF MICROMECHANICS AND MICROENGINEERING,0960-1317,2.3,0.394,
JOURNAL OF MICROPALAEONTOLOGY,0262-821X,2,0.491,
JOURNAL OF MICROSCOPY,0022-2720,2,0.532,
JOURNAL OF MICROWAVE POWER AND ELECTROMAGNETIC ENERGY,0832-7823,1.5,0.216,
JOURNAL OF MID-LIFE HEALTH,0976-7800,1.1,0,
JOURNAL OF MIDDLE EAST WOMENS STUDIES,1552-5864,0.3,0.541,
JOURNAL OF MIDWIFERY & WOMENS HEALTH,1526-9523,2.7,0.907,
JOURNAL OF MIGRATION AND HEALTH,2666-6235,4.6,1.488,
JOURNAL OF MILITARY AND STRATEGIC STUDIES,1488-559X,0.1,0.095,
JOURNAL OF MILITARY AND VETERANS HEALTH,1835-1271,0.4,0.088,
JOURNAL OF MILITARY HISTORY,0899-3718,0.1,0.2,
JOURNAL OF MILITARY VETERAN AND FAMILY HEALTH,2368-7924,0.9,0,
JOURNAL OF MIND AND MEDICAL SCIENCES,2392-7674,1.8,0.087,
JOURNAL OF MINERALOGICAL AND PETROLOGICAL SCIENCES,1345-6296,0.7,0.215,
JOURNAL OF MINIMAL ACCESS SURGERY,0972-9941,0.8,0.234,
JOURNAL OF MINIMALLY INVASIVE GYNECOLOGY,1553-4650,4.1,0.935,
JOURNAL OF MINING AND ENVIRONMENT,2251-8592,0.8,0.117,
JOURNAL OF MINING AND METALLURGY SECTION B-METALLURGY,1450-5339,1,0.135,
JOURNAL OF MINING INSTITUTE,2411-3336,2,0.225,
JOURNAL OF MINING SCIENCE,1062-7391,0.8,0.098,
JOURNAL OF MIXED METHODS RESEARCH,1558-6898,3.9,1.116,
JOURNAL OF MODELLING IN MANAGEMENT,1746-5664,2.4,0.304,
JOURNAL OF MODERN AFRICAN STUDIES,0022-278X,0.8,0.594,
JOURNAL OF MODERN CHINESE HISTORY,1753-5654,0.3,0.409,
JOURNAL OF MODERN CRAFT,1749-6772,0.3,0.12,
JOURNAL OF MODERN DYNAMICS,1930-5311,1.1,1.606,
JOURNAL OF MODERN EUROPEAN HISTORY,1611-8944,0.5,0.464,
JOURNAL OF MODERN GREEK STUDIES,0738-1727,0.4,0.314,
JOURNAL OF MODERN HISTORY,0022-2801,0.5,0.979,
JOURNAL OF MODERN ITALIAN STUDIES,1354-571X,0.4,0.289,
JOURNAL OF MODERN JEWISH STUDIES,1472-5886,0.2,0.435,
JOURNAL OF MODERN LITERATURE,0022-281X,0.2,0.223,
JOURNAL OF MODERN OPTICS,0950-0340,1.3,0.235,
JOURNAL OF MODERN PERIODICAL STUDIES,1947-6574,0.3,0,
JOURNAL OF MODERN POWER SYSTEMS AND CLEAN ENERGY,2196-5625,6.3,1.085,
JOURNAL OF MODERN RUSSIAN HISTORY AND HISTORIOGRAPHY,1947-9956,0,0.107,
JOURNAL OF MOLECULAR AND CELLULAR CARDIOLOGY,0022-2828,5,1.178,
JOURNAL OF MOLECULAR AND ENGINEERING MATERIALS,2251-2373,1.5,0.142,
JOURNAL OF MOLECULAR BIOLOGY,0022-2836,5.6,2.011,
JOURNAL OF MOLECULAR CELL BIOLOGY,1674-2788,5.5,1.725,
JOURNAL OF MOLECULAR DIAGNOSTICS,1525-1578,4.1,1.512,
JOURNAL OF MOLECULAR ENDOCRINOLOGY,0952-5041,3.5,1.101,
JOURNAL OF MOLECULAR EVOLUTION,0022-2844,3.9,0.754,
JOURNAL OF MOLECULAR GRAPHICS & MODELLING,1093-3263,2.9,0.361,
JOURNAL OF MOLECULAR HISTOLOGY,1567-2379,3.2,0.509,
JOURNAL OF MOLECULAR LIQUIDS,0167-7322,6,0.657,
JOURNAL OF MOLECULAR MEDICINE-JMM,0946-2716,4.7,1.063,
JOURNAL OF MOLECULAR MICROBIOLOGY AND BIOTECHNOLOGY,1464-1801,1.2,0.303,
JOURNAL OF MOLECULAR MODELING,1610-2940,2.2,0.283,
JOURNAL OF MOLECULAR NEUROSCIENCE,0895-8696,3.1,0.561,
JOURNAL OF MOLECULAR RECOGNITION,0952-3499,2.7,0.364,
