Journal name,JCR Abbreviated Title,ISSN,eISSN,Category,Total Citations,Journal Impact Factor,JIF Quartile,JIF Percentile,Article Influence Score,AIS Quartile,Journal Citation Indicator (JCI),JCI Percentile,% of OA Gold,5 Year JIF,JIF Without Self Cites,Immediacy Index,Eigenfactor,Normalized Eigenfactor,Citable Items,% of Articles in Citable items,Cited Half-Life,Citing Half-Life,Total Articles
INTERNATIONAL JOURNAL OF GEOGRAPHICAL INFORMATION SCIENCE,INT J GEOGR INF SCI,1365-8816,1362-3087,Multiple,8.741,5.152,Q1,88.82,0.958,Q2,1.37,89.34,11.94,5.081,4.862,0.881,0.00565,1.20804,84,95.24,8.2,7.8,80
International Journal of Geomechanics,INT J GEOMECH,1532-3641,1943-5622,ENGINEERING. GEOLOGICAL - SCIE,8.371,3.918,Q3,47.56,0.761,Q3,1.14,83.06,0.12,4.068,3.333,1.168,0.00943,2.01582,333,100,4.4,10.3,333
INTERNATIONAL JOURNAL OF GEOMETRIC METHODS IN MODERN PHYSICS,INT J GEOM METHODS M,0219-8878,1793-6977,PHYSICS. MATHEMATICAL - SCIE,2.716,1.873,Q2,59.82,0.362,Q4,0.71,65.83,0.29,1.651,1.57,0.645,0.00356,0.76277,248,98.79,3.8,11.1,245
INTERNATIONAL JOURNAL OF GERIATRIC PSYCHIATRY,INT J GERIATR PSYCH,0885-6230,1099-1166,Multiple,12.873,3.85,Q2,71.62,1.12,Q2,0.84,71.28,24.96,4.245,3.729,0.807,0.01031,2.20331,140,84.29,9.8,7.4,118
International Journal of Gerontology,INT J GERONTOL,1873-9598,1873-958X,GERIATRICS & GERONTOLOGY - SCIE,605,0.358,Q4,0.93,0.174,Q4,0.15,5.22,5.56,0.919,0.289,0.08,0.00055,0.11759,75,92,5.9,7.7,69
International Journal of Global Warming,INT J GLOBAL WARM,1758-2083,1758-2091,ENVIRONMENTAL SCIENCES - SCIE,593,0.972,Q4,5.91,0.136,Q4,0.18,7.56,0,0.872,0.837,0.107,0.00046,0.09961,84,97.62,5.5,7.7,82
International Journal of Green Energy,INT J GREEN ENERGY,1543-5075,1543-5083,Multiple,3.063,3.206,Q2,59.52,0.343,Q3,0.47,48.7,1.33,2.642,2.907,0.686,0.00211,0.45208,204,89.71,5.1,5.7,183
International Journal of Greenhouse Gas Control,INT J GREENH GAS CON,1750-5836,1878-0148,Multiple,14.122,4.4,Q2,65.14,0.729,Q2,0.59,61.95,17.45,4.342,3.693,1.308,0.00964,2.0605,253,97.63,6.4,7.4,247
INTERNATIONAL JOURNAL OF GROUP PSYCHOTHERAPY,INT J GROUP PSYCHOTH,0020-7284,1943-2836,PSYCHOLOGY. CLINICAL - SSCI,496,0.907,Q4,7.31,0.165,Q4,0.22,12.71,0,0.809,0.685,0.643,0.00027,0.05979,14,71.43,10.9,7.5,10
INTERNATIONAL JOURNAL OF GYNECOLOGICAL CANCER,INT J GYNECOL CANCER,1048-891X,1525-1438,Multiple,10.569,4.661,Q1,85.29,0.867,Q2,0.95,71.77,7.89,3.628,4.157,1.557,0.01049,2.24185,219,82.19,6.5,6.1,180
INTERNATIONAL JOURNAL OF GYNECOLOGICAL PATHOLOGY,INT J GYNECOL PATHOL,0277-1691,1538-7151,Multiple,3.106,3.326,Q2,70,0.649,Q2,0.95,71.48,6.95,2.679,3.041,0.931,0.00247,0.52965,87,83.91,9.3,8.8,73
INTERNATIONAL JOURNAL OF GYNECOLOGY & OBSTETRICS,INT J GYNECOL OBSTET,0020-7292,1879-3479,OBSTETRICS & GYNECOLOGY - SCIE,13.114,4.447,Q1,80.59,1.1,Q1,1.25,86.33,15.78,3.863,4.224,0.553,0.01451,3.10091,430,84.42,6.9,6.4,363
International Journal of Health Geographics,INT J HEALTH GEOGR,1476-072X,1476-072X,Multiple,3.317,5.31,Q1,83.24,1.195,Q2,1.04,78.19,100,4.808,5.202,0.976,0.00243,0.51941,42,92.86,9.2,6.6,39
INTERNATIONAL JOURNAL OF HEALTH PLANNING AND MANAGEMENT,INT J HEALTH PLAN M,0749-6753,1099-1751,Multiple,2.258,2.298,Q3,32.69,0.46,Q4,0.6,43.75,9.92,2.204,2.142,0.545,0.00312,0.66752,222,94.59,3.1,5.9,210
International Journal of Health Policy and Management,INT J HEALTH POLICY,N/A,2322-5939,Multiple,3.167,4.967,Q1,89.2,1.491,Q1,0.99,72.64,93.42,5.418,4.104,1.787,0.00538,1.15011,197,87.31,3.6,6.4,172
INTERNATIONAL JOURNAL OF HEALTH SERVICES,INT J HEALTH SERV,0020-7314,1541-4469,Multiple,2.169,1.851,Q4,16.97,0.804,Q3,0.65,46.23,19.53,2.181,1.785,1.104,0.00193,0.41445,48,75,11.4,4.8,36
INTERNATIONAL JOURNAL OF HEAT AND FLUID FLOW,INT J HEAT FLUID FL,0142-727X,1879-2278,Multiple,9.099,2.643,Q2,53.17,0.759,Q1,0.67,65.58,5.88,2.949,2.525,0.723,0.00546,1.1685,94,100,12.3,11.9,94
INTERNATIONAL JOURNAL OF HEAT AND MASS TRANSFER,INT J HEAT MASS TRAN,0017-9310,1879-2189,Multiple,93.232,5.431,Q1,89.49,0.909,Q1,1.39,94.16,2.7,5.428,4.699,1.316,0.06709,14.33777,1.416,97.95,6.5,8.4,1.387
International Journal of Heavy Vehicle Systems,INT J HEAVY VEH SYST,1744-232X,1741-5152,Multiple,250,0.568,Q4,2.55,0.115,Q4,0.19,18.66,0,0.669,0.531,0.083,0.00016,0.03454,36,94.44,7.5,9.7,34
INTERNATIONAL JOURNAL OF HEMATOLOGY,INT J HEMATOL,0925-5710,1865-3774,HEMATOLOGY - SCIE,5.427,2.319,Q4,18.59,0.642,Q3,0.49,44.15,0,2.456,2.224,0.553,0.00588,1.25731,190,94.74,6.8,7.3,180
International Journal of Heritage Studies,INT J HERIT STUD,1352-7258,1470-3610,Multiple,1.847,1.692,N/A,40.09,0.63,Q1,3.26,98.67,21.29,1.908,1.409,0.273,0.00234,0.50018,55,100,7.3,9.1,55
INTERNATIONAL JOURNAL OF HIGH PERFORMANCE COMPUTING APPLICATIONS,INT J HIGH PERFORM C,1094-3420,1741-2846,Multiple,1.266,2.82,Q2,67.43,0.58,Q2,0.49,48.24,10.24,2.457,2.68,1.079,0.0014,0.30127,38,100,5.4,6.6,38
International Journal of Hospitality Management,INT J HOSP MANAG,0278-4319,1873-4693,HOSPITALITY. LEISURE. SPORT & TOURISM - SSCI,21.418,10.427,Q1,92.11,1.601,Q1,2.56,98.09,2.32,11.129,9.011,4.432,0.0139,2.97147,338,97.34,5.3,8,329
International Journal of Housing Policy,INT J HOUS POLICY,1949-1247,1949-1255,Multiple,803,3.92,Q2,67.86,0.946,Q2,0.92,71.33,21.51,3.606,3.52,0.605,0.00114,0.24395,43,83.72,5,5.8,36
INTERNATIONAL JOURNAL OF HUMAN GENETICS,INT J HUM GENET,0972-3757,2456-6330,GENETICS & HEREDITY - SCIE,172,0.205,Q4,0.29,0.041,Q4,0.04,0.26,81.25,0.283,0.159,0,0.00004,0.01059,20,100,12.2,6.4,20
INTERNATIONAL JOURNAL OF HUMAN RESOURCE MANAGEMENT,INT J HUM RESOUR MAN,0958-5192,1466-4399,MANAGEMENT - SSCI,13.43,6.026,Q2,68.36,1.31,Q2,1.34,79.16,10.41,6.763,5.385,1.976,0.00849,1.81598,245,95.92,7.9,11.7,235
International Journal of Human Rights,INT J HUM RIGHTS,1364-2987,1744-053X,LAW - SSCI,1.028,0.991,Q3,34.74,0.569,Q3,1.34,82.09,11.26,1.467,0.946,0.139,0.00227,0.4855,79,98.73,5,8.9,78
INTERNATIONAL JOURNAL OF HUMAN-COMPUTER INTERACTION,INT J HUM-COMPUT INT,1044-7318,1532-7590,Multiple,4.681,4.92,Q1,90.63,0.911,Q2,0.93,79.69,8.68,4.503,4.484,0.477,0.0049,1.04882,193,94.82,4.7,8,183
INTERNATIONAL JOURNAL OF HUMAN-COMPUTER STUDIES,INT J HUM-COMPUT ST,1071-5819,1095-9300,Multiple,6.726,4.866,Q1,84.38,0.88,Q2,1.19,89.06,14.8,4.435,4.616,1.533,0.00376,0.80544,107,97.2,10.5,8.6,104
International Journal of Humanoid Robotics,INT J HUM ROBOT,0219-8436,1793-6942,ROBOTICS - SCIE,704,1.408,Q4,8.33,0.255,Q4,0.43,28.05,9.09,1.629,1.105,0.522,0.00043,0.09209,23,100,8,6.5,23
INTERNATIONAL JOURNAL OF HYDROGEN ENERGY,INT J HYDROGEN ENERG,0360-3199,1879-3487,Multiple,150.092,7.139,Q2,75,0.723,Q2,0.95,82.14,2.63,6.2,5.197,2.324,0.09093,19.43264,3.312,95.02,4.8,5.5,3.147
INTERNATIONAL JOURNAL OF HYGIENE AND ENVIRONMENTAL HEALTH,INT J HYG ENVIR HEAL,1438-4639,1618-131X,Multiple,9.087,7.401,Q1,86.43,1.295,Q2,1.59,91.45,27.5,7.154,7,1.619,0.00829,1.77277,176,93.18,5.1,6.6,164
International Journal of Hypertension,INT J HYPERTENS,2090-0384,2090-0392,PERIPHERAL VASCULAR DISEASE - SCIE,1.407,2.434,Q3,27.61,0.64,Q3,0.43,32.78,99.41,2.926,2.345,0.321,0.00122,0.26263,56,92.86,7.4,7.6,52
INTERNATIONAL JOURNAL OF HYPERTHERMIA,INT J HYPERTHER,0265-6736,1464-5157,Multiple,6.888,3.753,Q2,59.93,0.693,Q3,0.84,68.25,98.14,4.112,3.21,0.562,0.00511,1.09223,194,94.33,6.3,7.2,183
INTERNATIONAL JOURNAL OF IMAGING SYSTEMS AND TECHNOLOGY,INT J IMAG SYST TECH,0899-9457,1098-1098,Multiple,1.522,2.177,Q3,39.67,0.312,Q3,0.54,47.88,1.83,2.183,1.931,0.762,0.00098,0.21101,151,98.68,4.6,4.7,149
International Journal of Immunogenetics,INT J IMMUNOGENET,1744-3121,1744-313X,Multiple,882,2.385,Q3,26.57,0.365,Q4,0.36,17.02,9.02,1.704,2.297,0.806,0.00071,0.15252,31,61.29,7.2,6.2,19
INTERNATIONAL JOURNAL OF IMMUNOPATHOLOGY AND PHARMACOLOGY,INT J IMMUNOPATH PH,0394-6320,2058-7384,Multiple,3.228,3.298,Q2,52.6,0.536,Q3,0.65,50.83,98.02,3.494,3.19,0.519,0.00168,0.35913,81,90.12,8.4,6.3,73
INTERNATIONAL JOURNAL OF IMPACT ENGINEERING,INT J IMPACT ENG,0734-743X,1879-3509,Multiple,14.669,4.592,Q1,83.7,0.855,Q1,1.2,88.98,3.98,5.104,4.012,1.07,0.00816,1.74539,229,99.13,8.7,9.8,227
International Journal of Implant Dentistry,INT J IMPLANT DENT,N/A,2198-4034,DENTISTRY. ORAL SURGERY & MEDICINE - SCIE,939,2.984,Q2,55.98,0.635,Q2,0.94,69.3,99.17,3.373,2.79,0.427,0.00145,0.3107,117,84.62,3.4,8,99
INTERNATIONAL JOURNAL OF IMPOTENCE RESEARCH,INT J IMPOT RES,0955-9930,1476-5489,UROLOGY & NEPHROLOGY - SCIE,3.264,2.408,Q3,32.78,0.476,Q4,0.7,59.43,5.85,2.276,2.127,0.423,0.00175,0.37431,97,65.98,13.9,7.4,64
International Journal of Inclusive Education,INT J INCLUSIVE EDUC,1360-3116,1464-5173,EDUCATION & EDUCATIONAL RESEARCH - SSCI,3.438,2.863,Q2,64.61,0.679,Q3,1.39,81.26,12.45,3.013,2.299,0.707,0.0035,0.74892,239,93.72,5.6,8.8,224
International Journal of Industrial Engineering Computations,INT J IND ENG COMP,1923-2926,1923-2934,Multiple,1.036,3.271,Q2,61.49,N/A,N/A,0.62,51.5,99.07,N/A,3,0.622,0.00098,0.21079,37,97.3,5.3,8,36
INTERNATIONAL JOURNAL OF INDUSTRIAL ENGINEERING-THEORY APPLICATIONS AND PRACTICE,INT J IND ENG-THEORY,N/A,1943-670X,Multiple,511,0.633,Q4,3,0.099,Q4,0.1,5.56,0.69,0.817,0.477,0,0.00022,0.04849,36,94.44,7.5,8.4,34
INTERNATIONAL JOURNAL OF INDUSTRIAL ERGONOMICS,INT J IND ERGONOM,0169-8141,1872-8219,Multiple,5.233,2.884,Q3,46.88,0.431,Q3,0.63,52.27,7.24,2.735,2.373,0.529,0.00236,0.50472,138,94.2,10.5,10,130
INTERNATIONAL JOURNAL OF INDUSTRIAL ORGANIZATION,INT J IND ORGAN,0167-7187,1873-7986,ECONOMICS - SSCI,3.458,1.739,Q3,38.92,1.07,Q2,0.62,55,6.15,1.829,1.664,0.197,0.00339,0.72593,61,100,13.8,11.7,61
INTERNATIONAL JOURNAL OF INFECTIOUS DISEASES,INT J INFECT DIS,1201-9712,1878-3511,INFECTIOUS DISEASES - SCIE,26.024,12.074,Q1,86.7,2.33,Q1,1.49,86.59,99.42,9.022,11.823,3.305,0.04179,8.93196,944,94.49,1.8,3.2,892
INTERNATIONAL JOURNAL OF INFORMATION MANAGEMENT,INT J INFORM MANAGE,0268-4012,1873-4707,INFORMATION SCIENCE & LIBRARY SCIENCE - SSCI,17.621,18.958,Q1,99.4,2.395,Q1,5.51,99.7,9.19,16.58,16.913,7.545,0.01601,3.42326,165,90.91,3.2,6.7,150
International Journal of Information Security,INT J INF SECUR,1615-5262,1615-5270,Multiple,1.028,2.427,Q2,58.26,0.369,Q3,0.66,65.14,17.86,2.067,2.379,0.409,0.00083,0.17906,44,100,6,5.9,44
INTERNATIONAL JOURNAL OF INFORMATION TECHNOLOGY & DECISION MAKING,INT J INF TECH DECIS,0219-6220,1793-6845,Multiple,1.705,3.508,Q2,66.09,0.401,Q3,0.59,50.53,2.29,2.956,3.263,1.211,0.00113,0.24169,57,98.25,5.4,6.5,56
International Journal of Injury Control and Safety Promotion,INT J INJ CONTROL SA,1745-7300,1745-7319,PUBLIC. ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI,1.267,2.603,Q3,39.84,0.504,Q4,0.56,39.92,6.59,2.296,2.339,0.738,0.00131,0.28014,61,96.72,5.4,7.1,59
International Journal of Integrated Care,INT J INTEGR CARE,1568-4156,1568-4156,Multiple,1.973,2.913,Q2,52.84,0.849,Q3,0.76,57.55,99.49,4.095,2.212,0.323,0.00194,0.41556,93,89.25,5.9,6.3,83
INTERNATIONAL JOURNAL OF INTELLIGENT SYSTEMS,INT J INTELL SYST,0884-8173,1098-111X,COMPUTER SCIENCE. ARTIFICIAL INTELLIGENCE - SCIE,7.799,8.993,Q1,86.46,1.066,Q2,1.87,91.27,2.97,8.926,7.532,1.282,0.00518,1.1085,425,99.29,3.7,4.4,422
International Journal of Interactive Multimedia and Artificial Intelligence,INT J INTERACT MULTI,1989-1660,1989-1660,Multiple,1.128,4.936,Q2,68.58,0.523,Q3,0.9,68.52,100,3.73,4.6,0.628,0.00128,0.27476,78,94.87,2.8,6.5,74
INTERNATIONAL JOURNAL OF INTERCULTURAL RELATIONS,INT J INTERCULT REL,0147-1767,1873-7552,Multiple,5.266,2.938,Q2,74.32,0.952,Q2,1.28,81.18,12.36,3.686,2.5,0.856,0.00259,0.55447,139,94.96,10.7,10.2,132
International Journal of Islamic and Middle Eastern Finance and Management,INT J ISLAMIC MIDDLE,1753-8394,1753-8408,Multiple,1.227,2.853,Q2,55.41,0.291,Q4,0.81,64.93,1.6,3.035,2.069,0.506,0.00055,0.11933,85,96.47,5.5,8.1,82
International Journal of Laboratory Hematology,INT J LAB HEMATOL,1751-5521,1751-553X,HEMATOLOGY - SCIE,3.377,3.45,Q3,41.67,0.805,Q3,0.49,44.15,8.54,3.227,3.045,0.66,0.00471,1.00702,206,94.17,4.5,6.4,194
INTERNATIONAL JOURNAL OF LANGUAGE & COMMUNICATION DISORDERS,INT J LANG COMM DIS,1368-2822,1460-6984,Multiple,3.587,2.909,Q1,86.86,0.792,Q1,1.25,86.2,19.4,3.354,2.678,0.281,0.00263,0.5626,89,86.52,8.7,10.1,77
INTERNATIONAL JOURNAL OF LAW AND PSYCHIATRY,INT J LAW PSYCHIAT,0160-2527,1873-6386,Multiple,2.622,2.479,Q1,82.79,0.587,Q3,1.72,91.25,12.55,2.221,2.309,0.415,0.00236,0.50645,53,84.91,8.3,9.8,45
International Journal of Law Crime and Justice,INT J LAW CRIME JUST,1756-0616,1876-763X,Multiple,434,1.25,Q3,46.43,0.354,Q4,0.93,66.95,4.1,1.313,1.216,0.176,0.00067,0.14441,34,100,5.1,9.9,34
International Journal of Law Policy and the Family,INT J LAW POLICY FAM,1360-9939,1464-3707,Multiple,262,0.647,Q4,19.16,0.301,Q4,0.7,58.77,5.88,0.833,0.647,N/A,0.00025,0.055,N/A,N/A,10.3,N/A,N/A
International Journal of Lean Six Sigma,INT J LEAN SIX SIG,2040-4166,2040-4174,Multiple,1.834,5.686,Q2,67,0.541,Q3,0.87,65.87,2.29,5.949,4.02,1.137,0.00089,0.19218,73,82.19,4.7,7.7,60
INTERNATIONAL JOURNAL OF LEGAL MEDICINE,INT J LEGAL MED,0937-9827,1437-1596,MEDICINE. LEGAL - SCIE,6.402,2.791,Q1,79.41,0.528,Q2,1.34,84.78,22.99,2.602,2.33,0.614,0.00595,1.27279,249,93.98,5.9,8.2,234
INTERNATIONAL JOURNAL OF LEXICOGRAPHY,INT J LEXICOGR,0950-3846,1477-4577,Multiple,350,0.652,N/A,23.97,0.25,Q4,0.66,61.49,4.29,0.604,0.348,0.208,0.00025,0.05377,24,100,15.3,13.1,24
INTERNATIONAL JOURNAL OF LIFE CYCLE ASSESSMENT,INT J LIFE CYCLE ASS,0948-3349,1614-7502,Multiple,11.626,5.257,Q2,69.35,1.012,Q2,0.68,61.27,32.68,6.803,4.592,1.255,0.00733,1.5682,137,93.43,6.6,5.9,128
International Journal of Logistics Management,INT J LOGIST MANAG,0957-4093,1758-6550,MANAGEMENT - SSCI,3.902,5.446,Q2,59.07,0.812,Q3,1.29,76.6,3.21,6.541,4.116,1.481,0.00216,0.46349,106,94.34,5.8,6.3,100
International Journal of Logistics-Research and Applications,INT J LOGIST-RES APP,1367-5567,1469-848X,MANAGEMENT - SSCI,2.367,5.992,Q2,66.59,0.694,Q3,1.18,73.53,5.6,5.662,5.066,1.072,0.00144,0.30837,111,91.89,5,5.7,102
International Journal of Low-Carbon Technologies,INT J LOW-CARBON TEC,1748-1317,1748-1325,Multiple,1.494,3.071,Q2,56.35,0.374,Q3,0.46,44.81,100,2.646,2.835,0.599,0.00096,0.20559,142,97.89,5.4,6.4,139
International Journal of Lower Extremity Wounds,INT J LOW EXTR WOUND,1534-7346,1552-6941,Multiple,1.426,1.922,Q3,33.89,0.32,Q4,0.61,50.54,1.96,1.938,1.431,0.325,0.00102,0.21946,154,88.31,6,8.3,136
International Journal of Machine Learning and Cybernetics,INT J MACH LEARN CYB,1868-8071,1868-808X,COMPUTER SCIENCE. ARTIFICIAL INTELLIGENCE - SCIE,4.115,4.377,Q2,60.76,0.596,Q3,0.86,66.93,2.31,3.764,3.862,0.637,0.0051,1.09136,234,99.15,2.7,5.1,232
INTERNATIONAL JOURNAL OF MACHINE TOOLS & MANUFACTURE,INT J MACH TOOL MANU,0890-6955,1879-2170,Multiple,17.75,10.331,Q1,98.18,1.731,Q1,2.06,99.21,9.13,9.67,8.938,3.81,0.00657,1.40543,63,93.65,12.1,6.3,59
International Journal of Management Education,INT J MANAG EDUC-OXF,1472-8117,2352-3565,Multiple,1.765,4.564,Q1,87.45,0.641,Q3,1.35,80.17,9.72,4.746,3.436,1.975,0.00138,0.29671,122,99.18,4.1,9.1,121
INTERNATIONAL JOURNAL OF MANAGEMENT REVIEWS,INT J MANAG REV,1460-8545,1468-2370,Multiple,6.903,8.958,Q1,86.5,3.804,Q1,1.94,93.39,37.8,15.79,8.479,1.5,0.00498,1.06583,34,55.88,8.8,9.4,19
International Journal of Managing Projects in Business,INT J MANAG PROJ BUS,1753-8378,1753-8386,Multiple,1.591,2.951,Q3,27.21,0.483,Q4,0.61,48.31,3.35,3.175,2.563,0.554,0.00125,0.26846,65,90.77,5.1,10.6,59
INTERNATIONAL JOURNAL OF MANPOWER,INT J MANPOWER,0143-7720,1758-6577,Multiple,2.664,3.295,Q2,68.33,0.53,Q4,0.95,65.35,4.06,2.745,2.788,0.385,0.00193,0.41346,78,100,8.4,7.5,78
International Journal of Marine and Coastal Law,INT J MAR COAST LAW,0927-3522,1571-8085,LAW - SSCI,467,1.393,Q2,50.97,0.374,Q3,1.15,77.04,13.19,1.22,1.197,0.3,0.00053,0.1138,30,96.67,7.8,7.2,29
International Journal of Maritime Engineering,INT J MARIT ENG,1479-8751,1740-0716,ENGINEERING. MARINE - SCIE,167,0.333,Q4,9.38,0.095,Q4,0.18,18,0,0.455,0.333,N/A,0.00015,0.03392,N/A,N/A,6.1,N/A,N/A
INTERNATIONAL JOURNAL OF MARKET RESEARCH,INT J MARKET RES,1470-7853,2515-2173,BUSINESS - SSCI,1.845,2.513,Q4,17.86,0.465,Q4,0.44,33.73,4.55,2.305,2.327,0.293,0.00099,0.21341,41,97.56,9.5,9.5,40
INTERNATIONAL JOURNAL OF MASS SPECTROMETRY,INT J MASS SPECTROM,1387-3806,1873-2798,Multiple,7.564,1.934,Q3,40.7,0.439,Q3,0.69,67.95,7.04,1.962,1.794,0.5,0.00325,0.69567,168,100,12.8,10.1,168
International Journal of Material Forming,INT J MATER FORM,1960-6206,1960-6214,Multiple,2.012,2.378,Q2,65.19,0.414,Q2,0.47,65.38,16.12,2.332,2.275,0.98,0.00151,0.32472,49,95.92,6.6,10,47
INTERNATIONAL JOURNAL OF MATERIALS & PRODUCT TECHNOLOGY,INT J MATER PROD TEC,0268-1900,1741-5209,MATERIALS SCIENCE. MULTIDISCIPLINARY - SCIE,597,0.743,Q4,6.81,0.094,Q4,0.13,9.54,0,0.741,0.743,0.05,0.00017,0.03825,40,100,11.6,6.7,40
International Journal of Materials Research,INT J MATER RES,1862-5282,2195-8556,METALLURGY & METALLURGICAL ENGINEERING - SCIE,1.867,0.678,Q4,14.56,0.113,Q4,0.2,23.63,1.36,0.754,0.628,0.171,0.0007,0.1497,111,95.5,9.8,9.2,106
INTERNATIONAL JOURNAL OF MATHEMATICS,INT J MATH,0129-167X,1793-6519,MATHEMATICS - SCIE,1.519,0.708,Q3,28.16,0.658,Q2,0.62,45.89,2.04,0.753,0.679,0.097,0.00346,0.74115,134,100,9.7,17.2,134
INTERNATIONAL JOURNAL OF MECHANICAL SCIENCES,INT J MECH SCI,0020-7403,1879-2162,Multiple,27.926,6.772,Q1,95.29,1.034,Q1,1.72,96.33,3,6.27,5.698,1.834,0.02597,5.55015,742,99.87,4.2,7,741
International Journal of Mechanics and Materials in Design,INT J MECH MATER DES,1569-1713,1573-8841,Multiple,1.294,3.561,Q2,69.93,0.545,Q2,0.88,77.12,3.41,3.333,3.26,0.585,0.00121,0.25905,53,100,4.4,7.3,53
INTERNATIONAL JOURNAL OF MEDICAL INFORMATICS,INT J MED INFORM,1386-5056,1872-8243,Multiple,8.716,4.73,Q1,79.36,1.033,Q2,1.09,79.56,14.73,5.076,4.554,0.927,0.00906,1.93746,219,85.84,5.2,5.5,188
INTERNATIONAL JOURNAL OF MEDICAL MICROBIOLOGY,INT J MED MICROBIOL,1438-4221,1618-0607,Multiple,5.214,3.658,Q3,43.75,0.885,Q2,0.7,57.64,63.91,3.948,3.592,1.163,0.00321,0.68787,49,93.88,8.4,7.9,46
International Journal of Medical Robotics and Computer Assisted Surgery,INT J MED ROBOT COMP,1478-5951,1478-596X,SURGERY - SCIE,2.4,2.483,Q3,50,0.614,Q3,0.86,68.64,11.08,2.527,2.286,0.426,0.00305,0.65285,141,87.94,5,6.2,124
International Journal of Medical Sciences,INT J MED SCI,1449-1907,1449-1907,MEDICINE. GENERAL & INTERNAL - SCIE,7.198,3.642,Q2,63.08,0.606,Q3,0.69,77.36,99.68,3.619,3.573,1.058,0.00596,1.27557,415,86.27,4.5,6.5,358
INTERNATIONAL JOURNAL OF MEDICINAL MUSHROOMS,INT J MED MUSHROOMS,1521-9437,1940-4344,Multiple,2.135,1.706,Q4,18.97,0.176,Q4,0.42,25.35,0,1.817,1.185,0.265,0.00087,0.18732,98,88.78,6.4,8.1,87
International Journal of Mental Health and Addiction,INT J MENT HEALTH AD,1557-1874,1557-1882,Multiple,7.217,11.555,Q1,98.65,1.478,Q1,2.16,99.07,25.04,7.845,10.568,2.035,0.00984,2.10338,311,96.14,1.7,7.2,299
International Journal of Mental Health Nursing,INT J MENT HEALTH NU,1445-8330,1447-0349,Multiple,3.688,5.1,Q1,98.8,0.904,Q1,1.27,89.29,13.51,4.201,4.569,0.832,0.00474,1.01299,125,78.4,3.7,5.7,98
International Journal of Mental Health Promotion,INT J MENT HEALTH PR,1462-3730,2049-8543,Multiple,366,1.086,Q4,8.8,0.233,Q4,0.28,20.43,86.25,1.179,0.971,0.156,0.00018,0.03977,45,97.78,10.5,8.2,44
International Journal of Mental Health Systems,INT J MENT HEALTH SY,1752-4458,1752-4458,PSYCHIATRY - SSCI,2.336,3.463,Q2,50.35,1.041,Q2,0.71,50,99.18,3.895,3.281,0.807,0.00367,0.7845,83,84.34,4.9,7.5,70
International Journal of Metalcasting,INT J METALCAST,1939-5981,2163-3193,METALLURGY & METALLURGICAL ENGINEERING - SCIE,1.552,2.263,Q2,63.92,0.188,Q3,0.59,76.37,8.33,2.153,1.207,0.635,0.00086,0.18443,159,98.74,3.2,9.5,157
INTERNATIONAL JOURNAL OF METHODS IN PSYCHIATRIC RESEARCH,INT J METH PSYCH RES,1049-8931,1557-0657,Multiple,4.63,4.182,Q2,64.44,1.265,Q2,0.88,67.51,71.88,4.127,4.111,0.345,0.00302,0.64701,29,100,10.9,6.9,29
International Journal of Micro Air Vehicles,INT J MICRO AIR VEH,1756-8293,1756-8307,ENGINEERING. AEROSPACE - SCIE,402,1.405,Q3,30.88,0.473,Q2,0.54,59,98.21,2,1.214,0.214,0.00048,0.10468,14,100,5.3,8.5,14
International Journal of Microwave and Wireless Technologies,INT J MICROW WIREL T,1759-0787,1759-0795,Multiple,1.051,1.09,Q4,14.31,0.172,Q4,0.3,23.11,10.78,0.961,0.976,0.659,0.00125,0.26859,126,97.62,4,6.6,123
INTERNATIONAL JOURNAL OF MIDDLE EAST STUDIES,INT J MIDDLE E STUD,0020-7438,1471-6380,AREA STUDIES - SSCI,1.169,1.13,Q3,49.4,1.432,Q1,0.83,56.33,19.32,1.541,1.065,0.286,0.00166,0.35479,42,95.24,15.5,18.9,40
International Journal of Minerals Metallurgy and Materials,INT J MIN MET MATER,1674-4799,1869-103X,Multiple,4.491,3.85,Q1,80.38,0.392,Q2,0.78,81.87,1.47,2.938,3.244,1.511,0.0032,0.684,186,86.56,4.2,6,161
International Journal of Mining Reclamation and Environment,INT J MIN RECLAM ENV,1748-0930,1748-0949,Multiple,916,3.022,Q2,67.5,0.469,Q2,0.81,79.03,6.4,2.876,2.839,0.375,0.00086,0.18475,32,96.88,4.6,8.8,31
International Journal of Mining Science and Technology,INT J MIN SCI TECHNO,2095-2686,2212-6066,MINING & MINERAL PROCESSING - SCIE,5.556,7.67,Q1,97.5,0.799,Q1,2.11,95.16,99.4,5.648,6.095,3.712,0.00489,1.04682,111,100,3.9,6.6,111
International Journal of Mobile Communications,INT J MOB COMMUN,1470-949X,1741-5217,COMMUNICATION - SSCI,771,1.522,Q4,17.55,0.281,Q4,0.64,52.76,0,1.905,1.406,0.314,0.00045,0.09628,35,100,6.6,10,35
INTERNATIONAL JOURNAL OF MODERN PHYSICS A,INT J MOD PHYS A,0217-751X,1793-656X,Multiple,7.16,1.475,Q3,28.95,0.386,Q3,0.45,30.65,1.56,1.323,1.341,0.509,0.00628,1.34276,336,95.24,9.2,12.9,320
