JournalFullName,Journal,ISSN,eISSN,2022IF,2022AI
KLINISCHE MONATSBLATTER FUR AUGENHEILKUNDE,KLIN MONATSBL AUGENH,0023-2165,1439-3999,0.8,0.148
KLINISCHE NEUROPHYSIOLOGIE,KLIN NEUROPHYSIOL,1434-0275,1439-4081,0.5,0.052
KLINISCHE PADIATRIE,KLIN PADIATR,0300-8630,1439-3824,1,0.299
KNEE,KNEE,0968-0160,1873-5800,1.9,0.704
KNEE SURGERY SPORTS TRAUMATOLOGY ARTHROSCOPY,KNEE SURG SPORT TR A,0942-2056,1433-7347,3.8,1.114
KNJIZEVNA SMOTRA,KJNIZEV SMOTRA,0455-0463,2459-6329,0.1,0.013
KNOWLEDGE AND INFORMATION SYSTEMS,KNOWL INF SYST,0219-1377,0219-3116,2.7,0.628
KNOWLEDGE AND MANAGEMENT OF AQUATIC ECOSYSTEMS,KNOWL MANAG AQUAT EC,1961-9502,1961-9502,1.8,0.328
KNOWLEDGE ENGINEERING REVIEW,KNOWL ENG REV,0269-8889,1469-8005,2.1,0.516
KNOWLEDGE MANAGEMENT RESEARCH & PRACTICE,KNOWL MAN RES PRACT,1477-8238,1477-8246,3.2,0.424
KNOWLEDGE ORGANIZATION,KNOWL ORGAN,0943-7444,N/A,0.7,0.312
KNOWLEDGE-BASED SYSTEMS,KNOWL-BASED SYST,0950-7051,1872-7409,8.8,1.442
KODAI MATHEMATICAL JOURNAL,KODAI MATH J,0386-5991,0386-5991,0.6,0.327
KOEDOE,KOEDOE,0075-6458,2071-0771,1.1,0.303
KOLNER ZEITSCHRIFT FUR SOZIOLOGIE UND SOZIALPSYCHOLOGIE,KOLNER Z SOZIOL SOZ,0023-2653,1861-891X,1.5,0.708
KONA POWDER AND PARTICLE JOURNAL,KONA POWDER PART J,0288-4534,2187-5537,4.1,0.606
KONSTHISTORISK TIDSKRIFT,KONSTHIST TIDSKR,0023-3609,1651-2294,0.3,0.106
KOREA JOURNAL,KOREA J,0023-3900,0023-3900,0.4,0.179
KOREA OBSERVER,KOREA OBS,0023-3919,0023-3919,0.5,0.206
KOREA-AUSTRALIA RHEOLOGY JOURNAL,KOREA-AUST RHEOL J,1226-119X,2093-7660,1.3,0.199
KOREAN CIRCULATION JOURNAL,KOREAN CIRC J,1738-5520,1738-5555,2.9,0.7
KOREAN ECONOMIC REVIEW,KOREAN ECON REV,0254-3737,N/A,0.6,0.128
KOREAN JOURNAL OF CHEMICAL ENGINEERING,KOREAN J CHEM ENG,0256-1115,1975-7220,2.7,0.305
KOREAN JOURNAL OF DEFENSE ANALYSIS,KOREAN J DEF ANAL,1016-3271,1941-4641,0.4,0.115
KOREAN JOURNAL OF INTERNAL MEDICINE,KOREAN J INTERN MED,1226-3303,2005-6648,2.4,0.631
KOREAN JOURNAL OF MEDICAL HISTORY,KOR J MED HIST,1225-505X,N/A,0.1,0.113
KOREAN JOURNAL OF METALS AND MATERIALS,KOREAN J MET MATER,1738-8228,N/A,1.2,0.08
KOREAN JOURNAL OF ORTHODONTICS,KOREAN J ORTHOD,2234-7518,2005-372X,1.9,0.52
KOREAN JOURNAL OF PHYSIOLOGY & PHARMACOLOGY,KOREAN J PHYSIOL PHA,1226-4512,2093-3827,2,0.302
KOREAN JOURNAL OF RADIOLOGY,KOREAN J RADIOL,1229-6929,2005-8330,4.8,1.08
KOREAN STUDIES,PAC ASSOC KOREAN ST,0145-840X,1529-1529,0.3,0.22
KOVOVE MATERIALY-METALLIC MATERIALS,KOVOVE MATER,0023-432X,1338-4252,0.7,0.098
KRITIKA KULTURA,KRIT KULT,2094-6937,N/A,0.1,0.088
KRITIKA-EXPLORATIONS IN RUSSIAN AND EURASIAN HISTORY,KRITIKA,1531-023X,1538-5000,0.3,0.767
KSCE JOURNAL OF CIVIL ENGINEERING,KSCE J CIV ENG,1226-7988,1976-3808,2.2,0.375
KSII TRANSACTIONS ON INTERNET AND INFORMATION SYSTEMS,KSII T INTERNET INF,1976-7277,1976-7277,1.5,0.134
KUNSTITEADUSLIKKE UURIMUSI,KUNSTITEADUS UURIMUS,1406-2860,N/A,0.2,0.078
KUWAIT JOURNAL OF SCIENCE,KUWAIT J SCI,2307-4108,2307-4116,1.4,0.137
KUWAIT MEDICAL JOURNAL,KUWAIT MED J,1607-8047,0023-5776,0.1,0.023
KWARTALNIK HISTORII ZYDOW-JEWISH HISTORY QUARTERLY,KWARTALNIK HIST ZYDO,1899-3044,1899-3044,0.1,0.078
KYBERNETES,KYBERNETES,0368-492X,1758-7883,2.5,0.292
KYBERNETIKA,KYBERNETIKA,0023-5954,N/A,0.5,0.185
KYKLOS,KYKLOS,0023-5962,1467-6435,1.9,0.736
KYOTO JOURNAL OF MATHEMATICS,KYOTO J MATH,2156-2261,2154-3321,0.6,0.803
KYUSHU JOURNAL OF MATHEMATICS,KYUSHU J MATH,1340-6116,1883-2032,0.4,0.306
LAB ANIMAL,LAB ANIMAL,0093-7355,1548-4475,6.9,2.773
LAB ON A CHIP,LAB CHIP,1473-0197,1473-0189,6.1,1.302
LABORATORY INVESTIGATION,LAB INVEST,0023-6837,1530-0307,5,1.273
LABORATORY MEDICINE,LAB MED,0007-5027,1943-7730,1.3,0.314
LABORATORY PHONOLOGY,LAB PHONOL,1868-6346,1868-6354,1.5,0.695
LABOUR ECONOMICS,LABOUR ECON,0927-5371,1879-1034,2.4,1.593
LABOUR HISTORY REVIEW,LABOUR HIST REV,0961-5652,1745-8188,0.3,0.157
LABOUR-LE TRAVAIL,LABOUR-TRAVAIL,0700-3862,1911-4842,0.1,0.183
LAEKNABLADID,LAEKNABLADID,0023-7213,1670-4959,0.4,0.075
LAKE AND RESERVOIR MANAGEMENT,LAKE RESERV MANAGE,1040-2381,2151-5530,1.5,0.354
LANCET,LANCET,0140-6736,1474-547X,168.9,40.692
LANCET DIABETES & ENDOCRINOLOGY,LANCET DIABETES ENDO,2213-8587,2213-8595,44.5,13.7
LANCET GLOBAL HEALTH,LANCET GLOB HEALTH,2214-109X,2214-109X,34.3,12.36
LANCET HAEMATOLOGY,LANCET HAEMATOL,2352-3026,N/A,24.7,8.185
LANCET HIV,LANCET HIV,2352-3018,2352-3018,16.1,5.816
LANCET INFECTIOUS DISEASES,LANCET INFECT DIS,1473-3099,1474-4457,56.3,14.175
LANCET NEUROLOGY,LANCET NEUROL,1474-4422,1474-4465,48,17.108
LANCET ONCOLOGY,LANCET ONCOL,1470-2045,1474-5488,51.1,17.299
LANCET PSYCHIATRY,LANCET PSYCHIAT,2215-0374,N/A,64.3,15.265
LANCET RESPIRATORY MEDICINE,LANCET RESP MED,2213-2600,N/A,76.2,20.544
LAND DEGRADATION & DEVELOPMENT,LAND DEGRAD DEV,1085-3278,1099-145X,4.7,0.842
LAND ECONOMICS,LAND ECON,0023-7639,1543-8325,1.4,0.642
LAND USE POLICY,LAND USE POLICY,0264-8377,1873-5754,7.1,1.06
LANDFALL,LANDFALL,0023-7930,N/A,0.1,0.007
LANDSCAPE AND ECOLOGICAL ENGINEERING,LANDSC ECOL ENG,1860-1871,1860-188X,2,0.358
LANDSCAPE AND URBAN PLANNING,LANDSCAPE URBAN PLAN,0169-2046,1872-6062,9.1,1.691
LANDSCAPE ARCHITECTURE MAGAZINE,LANDSC ARCHIT MAG,0023-8031,0023-8031,0.1,0.064
LANDSCAPE ECOLOGY,LANDSCAPE ECOL,0921-2973,1572-9761,5.2,1.088
LANDSCAPE RESEARCH,LANDSCAPE RES,0142-6397,1469-9710,1.8,0.416
LANDSLIDES,LANDSLIDES,1612-510X,1612-5118,6.7,1.352
LANGAGES,LANGAGES,0458-726X,1958-9549,0.4,0.19
LANGENBECKS ARCHIVES OF SURGERY,LANGENBECK ARCH SURG,1435-2443,1435-2451,2.3,0.688
LANGMUIR,LANGMUIR,0743-7463,N/A,3.9,0.661
LANGUAGE,LANGUAGE,0097-8507,1535-0665,2.1,1.338
LANGUAGE & COMMUNICATION,LANG COMMUN,0271-5309,1873-3395,1.5,0.76
LANGUAGE & HISTORY,LANG HIST,1759-7536,1759-7544,0.5,0.268
LANGUAGE ACQUISITION,LANG ACQUIS,1048-9223,1532-7817,1.2,0.628
LANGUAGE AND INTERCULTURAL COMMUNICATION,LANG INTERCULT COMM,1470-8477,1747-759X,1.9,0.578
LANGUAGE AND LITERATURE,LANG LIT,0963-9470,1461-7293,0.7,0.534
LANGUAGE AND SPEECH,LANG SPEECH,0023-8309,1756-6053,1.8,0.619
LANGUAGE ASSESSMENT QUARTERLY,LANG ASSESS Q,1543-4303,1543-4311,2.9,0.787
LANGUAGE AWARENESS,LANG AWARE,0965-8416,1747-7565,2,0.647
LANGUAGE COGNITION AND NEUROSCIENCE,LANG COGN NEUROSCI,2327-3798,2327-3801,2.3,0.932
LANGUAGE CULTURE AND CURRICULUM,LANG CULT CURRIC,0790-8318,1747-7573,3.5,0.93
LANGUAGE IN SOCIETY,LANG SOC,0047-4045,1469-8013,1.5,1.606
LANGUAGE LEARNING,LANG LEARN,0023-8333,1467-9922,4.4,1.899
LANGUAGE LEARNING & TECHNOLOGY,LANG LEARN TECHNOL,1094-3501,N/A,3.8,1.673
LANGUAGE MATTERS,LANG MATTERS,1022-8195,1753-5395,0.5,0.187
LANGUAGE POLICY,LANG POLICY-NETH,1568-4555,1573-1863,1.6,0.858
LANGUAGE PROBLEMS & LANGUAGE PLANNING,LANG PROBL LANG PLAN,0272-2690,1569-9889,0.6,0.245
LANGUAGE RESOURCES AND EVALUATION,LANG RESOUR EVAL,1574-020X,1574-0218,2.7,0.49
LANGUAGE SCIENCES,LANG SCI,0388-0001,1873-5746,1.1,0.513
LANGUAGE SPEECH AND HEARING SERVICES IN SCHOOLS,LANG SPEECH HEAR SER,0161-1461,1558-9129,2.4,0.735
LANGUAGE TEACHING RESEARCH,LANG TEACH RES,1362-1688,1477-0954,4.2,1.314
LANGUAGE TESTING,LANG TEST,0265-5322,1477-0946,4.1,1.176
LANGUAGE VARIATION AND CHANGE,LANG VAR CHANGE,0954-3945,1469-8021,1,0.91
LANGUE FRANCAISE,LANGUE FRANCAISE,0023-8368,1957-7982,0.1,0.146
LARGE ANIMAL REVIEW,LARGE ANIM REV,1124-4593,1124-4593,0.6,0.081
LARYNGO-RHINO-OTOLOGIE,LARYNGO RHINO OTOL,0935-8943,1438-8685,1,0.178
LARYNGOSCOPE,LARYNGOSCOPE,0023-852X,1531-4995,2.6,0.81
LASER & PHOTONICS REVIEWS,LASER PHOTONICS REV,1863-8880,1863-8899,11,2.806
LASER AND PARTICLE BEAMS,LASER PART BEAMS,0263-0346,1469-803X,0.9,0.242
LASER PHYSICS LETTERS,LASER PHYS LETT,1612-2011,1612-202X,1.7,0.281
LASERS IN ENGINEERING,LASER ENG,0898-1507,1029-029X,0.5,0.064
LASERS IN MEDICAL SCIENCE,LASER MED SCI,0268-8921,1435-604X,2.1,0.472
LASERS IN SURGERY AND MEDICINE,LASER SURG MED,0196-8092,1096-9101,2.4,0.574
LATE IMPERIAL CHINA,LATE IMP CHINA,0884-3236,1086-3257,0.4,0.277
LATERALITY,LATERALITY,1357-650X,1464-0678,1.4,0.408
LATIN AMERICAN ANTIQUITY,LAT AM ANTIQ,1045-6635,2325-5080,0.9,0.386
LATIN AMERICAN ECONOMIC REVIEW,LAT AM ECON REV,2198-3526,2196-436X,0.5,0.844
LATIN AMERICAN JOURNAL OF AQUATIC RESEARCH,LAT AM J AQUAT RES,0718-560X,0718-560X,1,0.227
LATIN AMERICAN JOURNAL OF PHARMACY,LAT AM J PHARM,0326-2383,N/A,0.2,0.021
LATIN AMERICAN JOURNAL OF SOLIDS AND STRUCTURES,LAT AM J SOLIDS STRU,1679-7825,1679-7825,1.2,0.248
LATIN AMERICAN MUSIC REVIEW-REVISTA DE MUSICA LATINOAMERICANA,LAT AM MUSIC REV,0163-0350,1536-0199,0.1,0.172
LATIN AMERICAN PERSPECTIVES,LAT AM PERSPECT,0094-582X,1552-678X,0.7,0.507
LATIN AMERICAN POLITICS AND SOCIETY,LAT AM POLIT SOC,1531-426X,1548-2456,1.9,1.065
LATIN AMERICAN RESEARCH REVIEW,LAT AM RES REV,0023-8791,1542-4278,0.8,0.648
LATIN AMERICAN THEATRE REVIEW,LAT AM THEATRE REV,0023-8813,2161-0576,0.1,0.086
LATOMUS,LATOMUS,0023-8856,2294-4427,0.1,0.1
LAVAL THEOLOGIQUE ET PHILOSOPHIQUE,LAVAL THEOL PHILOS,0023-9054,1703-8804,0.1,0.161
LAW & LITERATURE,LAW LIT,1535-685X,1541-2601,0.4,0.284
LAW & POLICY,LAW POLICY,0265-8240,1467-9930,1.3,0.952
LAW & SOCIETY REVIEW,LAW SOC REV,0023-9216,1540-5893,2.9,1.51
LAW AND HISTORY REVIEW,LAW HIST REV,0738-2480,1939-9022,0.8,0.928
LAW AND HUMAN BEHAVIOR,LAW HUMAN BEHAV,0147-7307,1573-661X,2.5,1.075
LAW AND PHILOSOPHY,LAW PHILOS,0167-5249,1573-0522,0.8,0.673
LAW AND SOCIAL INQUIRY-JOURNAL OF THE AMERICAN BAR FOUNDATION,LAW SOCIAL INQUIRY,0897-6546,1747-4469,1.6,0.868
LAW LIBRARY JOURNAL,LAW LIBR J,0023-9283,0023-9283,0.2,0.205
LAW PROBABILITY & RISK,LAW PROBAB RISK,1470-8396,1470-840X,0.7,0.344
LEADERSHIP,LEADERSHIP-LONDON,1742-7150,1742-7169,3.4,0.952
LEADERSHIP & ORGANIZATION DEVELOPMENT JOURNAL,LEADERSHIP ORG DEV J,0143-7739,1472-5347,4.9,0.88
LEADERSHIP QUARTERLY,LEADERSHIP QUART,1048-9843,1873-3409,7.5,3.744
LEARNED PUBLISHING,LEARN PUBL,0953-1513,1741-4857,2.8,0.719
LEARNING & BEHAVIOR,LEARN BEHAV,1543-4494,1543-4508,1.8,0.596
LEARNING & MEMORY,LEARN MEMORY,1072-0502,1549-5485,2,0.801
LEARNING AND INDIVIDUAL DIFFERENCES,LEARN INDIVID DIFFER,1041-6080,1873-3425,3.6,1.18
LEARNING AND MOTIVATION,LEARN MOTIV,0023-9690,1095-9122,1.4,0.354
LEARNING CULTURE AND SOCIAL INTERACTION,LEARN CULT SOC INTER,2210-6561,2210-657X,1.9,0.569
LEARNING DISABILITIES RESEARCH & PRACTICE,LEARN DISABIL RES PR,0938-8982,1540-5826,1.8,0.898
LEARNING DISABILITY QUARTERLY,LEARN DISABILITY Q,0731-9487,2168-376X,1.8,0.78
LEARNING MEDIA AND TECHNOLOGY,LEARN MEDIA TECHNOL,1743-9884,1743-9892,6.9,1.472
LEGACY,LEGACY,0748-4321,0748-4321,0.3,0.224
LEGAL AND CRIMINOLOGICAL PSYCHOLOGY,LEGAL CRIMINOL PSYCH,1355-3259,2044-8333,2.3,0.691
LEGAL STUDIES,LEG STUD,0261-3875,1748-121X,0.7,0.48
LEGISLATIVE STUDIES QUARTERLY,LEGIS STUD QUART,0362-9805,1939-9162,1.5,1.21
LEGUME RESEARCH,LEGUME RES,0250-5371,N/A,0.8,0.102
LEIDEN JOURNAL OF INTERNATIONAL LAW,LEIDEN J INT LAW,0922-1565,1478-9698,1.5,0.771
LEISURE SCIENCES,LEISURE SCI,0149-0400,1521-0588,4,0.927
LEISURE STUDIES,LEISURE STUD,0261-4367,1466-4496,2.8,0.581
LEONARDO,LEONARDO,0024-094X,1530-9282,0.3,0.141
LEONARDO MUSIC JOURNAL,LEONARDO MUSIC J,0961-1215,1531-4812,0.2,0.101
LEPROSY REVIEW,LEPROSY REV,0305-7518,2162-8807,0.6,0.202
LETHAIA,LETHAIA,0024-1164,1502-3931,1.5,0.593
LETTERE ITALIANE,LETT ITAL,0024-1334,2035-6315,0.1,0.207
LETTERS IN APPLIED MICROBIOLOGY,LETT APPL MICROBIOL,0266-8254,1472-765X,2.4,0.432
LETTERS IN DRUG DESIGN & DISCOVERY,LETT DRUG DES DISCOV,1570-1808,1875-628X,1,0.123
LETTERS IN MATHEMATICAL PHYSICS,LETT MATH PHYS,0377-9017,1573-0530,1.2,0.9
LETTERS IN ORGANIC CHEMISTRY,LETT ORG CHEM,1570-1786,1875-6255,0.8,0.089
LEUKEMIA,LEUKEMIA,0887-6924,1476-5551,11.4,3.518
LEUKEMIA & LYMPHOMA,LEUKEMIA LYMPHOMA,1042-8194,1029-2403,2.6,0.858
LEUKEMIA RESEARCH,LEUKEMIA RES,0145-2126,1873-5835,2.7,0.696
LEUKOS,LEUKOS,1550-2724,1550-2716,3.6,0.644
LEVANT,LEVANT,0075-8914,1756-3801,0.8,0.431
LEVIATHAN-A JOURNAL OF MELVILLE STUDIES,LEVIATHAN-J MELVILLE,1525-6995,1750-1849,1.4,0.788
LEX LOCALIS-JOURNAL OF LOCAL SELF-GOVERNMENT,LEX LOCALIS,1581-5374,1855-363X,0.4,0.07
LEXIKOS,LEXIKOS,1684-4904,2224-0039,0.4,0.177
LGBT HEALTH,LGBT HEALTH,2325-8292,2325-8306,4.8,1.967
LIBERTE,LIBERTE,0024-2020,N/A,0.1,0.054
LIBRARY,LIBRARY,0024-2160,1744-8581,0.7,0.621
LIBRARY & INFORMATION SCIENCE RESEARCH,LIBR INFORM SCI RES,0740-8188,1873-1848,2.9,0.627
LIBRARY HI TECH,LIBR HI TECH,0737-8831,0737-8831,3.4,0.342
LIBRARY JOURNAL,LIBR J,0363-0277,N/A,1.1,0.258
LIBRARY QUARTERLY,LIBR QUART,0024-2519,1549-652X,1.8,0.473
LIBRARY RESOURCES & TECHNICAL SERVICES,LIBR RESOUR TECH SER,0024-2527,2159-9610,0.5,0.186
LIBRARY TRENDS,LIBR TRENDS,0024-2594,1559-0682,0.8,0.423
LIBYAN JOURNAL OF MEDICINE,LIBYAN J MED,1993-2820,1819-6357,2.4,0.434
LICHENOLOGIST,LICHENOLOGIST,0024-2829,1096-1135,1.4,0.31
LIED UND POPULARE KULTUR-SONG AND POPULAR CULTURE,LIED POP KULT,1619-0548,1619-0548,0.1,0.322
LIFE SCIENCES,LIFE SCI,0024-3205,1879-0631,6.1,0.91
LIFE WRITING,LIFE WRIT,1448-4528,1751-2964,0.4,0.371
LIFETIME DATA ANALYSIS,LIFETIME DATA ANAL,1380-7870,1572-9249,1.3,1.213
LIGHT & ENGINEERING,LIGHT ENG,0236-2945,N/A,0.6,0.042
LIGHTING RESEARCH & TECHNOLOGY,LIGHTING RES TECHNOL,1477-1535,1477-0938,2.5,0.421
LIGHT-SCIENCE & APPLICATIONS,LIGHT-SCI APPL,2095-5545,2047-7538,19.4,5.244
LILI-ZEITSCHRIFT FUR LITERATURWISSENSCHAFT UND LINGUISTIK,LILI,0049-8653,2365-953X,0.2,0.162
LIMNETICA,LIMNETICA,0213-8409,1989-1806,1.4,0.244
LIMNOLOGICA,LIMNOLOGICA,0075-9511,1873-5851,1.7,0.426
LIMNOLOGY,LIMNOLOGY,1439-8621,1439-863X,1.6,0.358
LIMNOLOGY AND OCEANOGRAPHY,LIMNOL OCEANOGR,0024-3590,1939-5590,4.5,1.245
LIMNOLOGY AND OCEANOGRAPHY-METHODS,LIMNOL OCEANOGR-METH,1541-5856,1541-5856,2.7,0.822
LINEAR & MULTILINEAR ALGEBRA,LINEAR MULTILINEAR A,0308-1087,1563-5139,1.1,0.52
LINEAR ALGEBRA AND ITS APPLICATIONS,LINEAR ALGEBRA APPL,0024-3795,1873-1856,1.1,0.663
LINGUA,LINGUA,0024-3841,1872-6135,1.1,0.455
LINGUA E STILE,LINGUA STILE,0024-385X,0024-385X,0.1,0.208
LINGUA NOSTRA,LINGUA NOSTRA,0024-3868,N/A,0.1,0.741
LINGUISTIC APPROACHES TO BILINGUALISM,LINGUIST APPROACH BI,1879-9264,1879-9272,1.1,0.648
LINGUISTIC INQUIRY,LINGUIST INQ,0024-3892,1530-9150,1.6,1.446
LINGUISTIC REVIEW,LINGUIST REV,0167-6318,1613-3676,0.5,0.453
LINGUISTIC TYPOLOGY,LINGUIST TYPOL,1430-0532,1613-415X,2,1.372
LINGUISTICA ANTVERPIENSIA NEW SERIES-THEMES IN TRANSLATION STUDIES,LING ANTVERP NEW SER,2295-5739,2295-5739,2.2,0.604
LINGUISTICA PRAGENSIA,LINGUIST PRAG,0862-8432,1805-9635,0.2,0.077
LINGUISTICS,LINGUISTICS,0024-3949,1613-396X,1.1,0.741
LINGUISTICS AND EDUCATION,LINGUIST EDUC,0898-5898,1873-1864,1.6,0.699
LINGUISTICS AND PHILOSOPHY,LINGUIST PHILOS,0165-0157,1573-0549,1.1,1.068
LINGUISTIQUE,LINGUISTIQUE,0075-966X,2101-0234,0.1,0.107
LION AND THE UNICORN,LION UNICORN,0147-2593,1080-6563,0.1,0.414
LIPIDS,LIPIDS,0024-4201,1558-9307,1.9,0.369
LIPIDS IN HEALTH AND DISEASE,LIPIDS HEALTH DIS,N/A,1476-511X,4.5,0.871
LIQUID CRYSTALS REVIEWS,LIQ CRYST REV,2168-0396,2168-0418,5.1,1.683
LISTY FILOLOGICKE,LIST FILOL,0024-4457,2570-9410,0.1,0.029
LITERACY,LITERACY,1741-4350,1741-4369,1.3,0.513
LITERARY IMAGINATION,LIT IMAGIN,1523-9012,1752-6566,0.1,0.103
LITERATUR UND KRITIK,LIT KRITIK,0024-466X,N/A,0.1,0.056
LITERATURE & HISTORY-THIRD SERIES,LIT HIST-THIRD SER,0306-1973,2050-4594,0.1,0.314
LITERATURE AND MEDICINE,LIT MED,0278-9671,1080-6571,0.2,0.327
LITERATURE AND THEOLOGY,LIT THEOL,0269-1205,1477-4623,0.1,0.069
LITHOS,LITHOS,0024-4937,1872-6143,3.5,1.165
LITHOSPHERE,LITHOSPHERE-US,1941-8264,1947-4253,2.4,0.89
LITHUANIAN JOURNAL OF PHYSICS,LITH J PHYS,1648-8504,1648-8504,0.6,0.132
LITHUANIAN MATHEMATICAL JOURNAL,LITH MATH J,0363-1672,1573-8825,0.4,0.209
LIT-LITERATURE INTERPRETATION THEORY,LIT-LIT INTERPRET TH,1043-6928,1545-5866,0.1,0.252
LITTERATURE,LITTERATURE,0047-4800,1958-5926,0.1,0.091
LITTERATURES,LITTERATURES,0563-9751,N/A,0.1,0.057
LIVER INTERNATIONAL,LIVER INT,1478-3223,1478-3231,6.7,1.753
LIVER TRANSPLANTATION,LIVER TRANSPLANT,1527-6465,1527-6473,4.6,1.609
LIVESTOCK SCIENCE,LIVEST SCI,1871-1413,1878-0490,1.8,0.363
LIVING REVIEWS IN RELATIVITY,LIVING REV RELATIV,2367-3613,1433-8351,40.6,12.565
LIVING REVIEWS IN SOLAR PHYSICS,LIVING REV SOL PHYS,2367-3648,1614-4961,20.9,9.404
LJETOPIS SOCIJALNOG RADA,LJETOP SOC RADA,1846-5412,1846-5412,0.2,0.05
LOCAL GOVERNMENT STUDIES,LOCAL GOV STUD,0300-3930,1743-9388,1.9,0.583
LOGICAL METHODS IN COMPUTER SCIENCE,LOG METH COMPUT SCI,1860-5974,1860-5974,0.6,0.437
LOGIQUE ET ANALYSE,LOG ANAL,0024-5836,2295-5836,0.3,0.196
LOGOPEDICS PHONIATRICS VOCOLOGY,LOGOP PHONIATR VOCO,1401-5439,1651-2022,1.1,0.319
LOGOS & PNEUMA-CHINESE JOURNAL OF THEOLOGY,LOGOS PNEUMA-CHIN J,1023-2583,N/A,0.1,0.034
LOGOS-A JOURNAL OF CATHOLIC THOUGHT AND CULTURE,LOGOS-ST PAUL,1091-6687,1533-791X,0.1,0.129
LOGOS-VILNIUS,LOGOS-VILNIUS,0868-7692,0868-7692,0.1,0.007
LOISIR & SOCIETE-SOCIETY AND LEISURE,LOISIR SOC-SOC LEIS,0705-3436,1705-0154,0.5,0.28
LONDON JOURNAL,LOND J,0305-8034,1749-6322,0.5,0.373
LONG RANGE PLANNING,LONG RANGE PLANN,0024-6301,1873-1872,8.5,2.475
LOW TEMPERATURE PHYSICS,LOW TEMP PHYS+,1063-777X,1090-6517,0.8,0.174
LUBRICATION SCIENCE,LUBR SCI,0954-0075,1557-6833,1.9,0.264
LUMINESCENCE,LUMINESCENCE,1522-7235,1522-7243,2.9,0.287
LUNG,LUNG,0341-2040,1432-1750,5,0.899
LUPUS,LUPUS,0961-2033,1477-0962,2.6,0.716
LUSO-BRAZILIAN REVIEW,LUSO-BRAZ REV,0024-7413,1548-9957,0.1,0.287
LUTS-LOWER URINARY TRACT SYMPTOMS,LUTS,1757-5664,1757-5672,1.3,0.402
LWT-FOOD SCIENCE AND TECHNOLOGY,LWT-FOOD SCI TECHNOL,0023-6438,1096-1127,6,0.736
LYMPHATIC RESEARCH AND BIOLOGY,LYMPHAT RES BIOL,1539-6851,1557-8585,1.4,0.514
LYMPHOLOGY,LYMPHOLOGY,0024-7766,N/A,2.5,0.443
M S-MEDECINE SCIENCES,M S-MED SCI,0767-0974,1958-5381,0.7,0.114
M&SOM-MANUFACTURING & SERVICE OPERATIONS MANAGEMENT,M&SOM-MANUF SERV OP,1523-4614,1526-5498,6.3,2.801
MACEDONIAN JOURNAL OF CHEMISTRY AND CHEMICAL ENGINEERING,MACED J CHEM CHEM EN,1857-5552,1857-5625,1,0.125
MACHINE LEARNING,MACH LEARN,0885-6125,1573-0565,7.5,1.716
MACHINE VISION AND APPLICATIONS,MACH VISION APPL,0932-8092,1432-1769,3.3,0.529
MACHINING SCIENCE AND TECHNOLOGY,MACH SCI TECHNOL,1091-0344,1532-2483,2.7,0.426
MACROECONOMIC DYNAMICS,MACROECON DYN,1365-1005,1469-8056,0.9,0.474
MACROHETEROCYCLES,MACROHETEROCYCLES,1998-9539,1998-9539,1.4,0.122
MACROMOLECULAR BIOSCIENCE,MACROMOL BIOSCI,1616-5187,1616-5195,4.6,0.646
MACROMOLECULAR MATERIALS AND ENGINEERING,MACROMOL MATER ENG,1438-7492,1439-2054,3.9,0.595
MACROMOLECULAR RAPID COMMUNICATIONS,MACROMOL RAPID COMM,1022-1336,1521-3927,4.6,0.867
MACROMOLECULAR REACTION ENGINEERING,MACROMOL REACT ENG,1862-832X,1862-8338,1.5,0.22
MACROMOLECULAR RESEARCH,MACROMOL RES,1598-5032,2092-7673,2.4,0.275
MACROMOLECULAR THEORY AND SIMULATIONS,MACROMOL THEOR SIMUL,1022-1344,1521-3919,1.4,0.229
MACROMOLECULES,MACROMOLECULES,0024-9297,1520-5835,5.5,1.067
MADERA Y BOSQUES,MADERA BOSQUES,2448-7597,2448-7597,0.5,0.155
MADERAS-CIENCIA Y TECNOLOGIA,MADERAS-CIENC TECNOL,0717-3644,0718-221X,1.5,0.257
MAEJO INTERNATIONAL JOURNAL OF SCIENCE AND TECHNOLOGY,MAEJO INT J SCI TECH,1905-7873,N/A,0.7,0.102
MAGALLANIA,MAGALLANIA,0718-2244,0718-2244,0.4,0.228
MAGAZINE OF CONCRETE RESEARCH,MAG CONCRETE RES,0024-9831,1751-763X,2.7,0.45
MAGIC RITUAL AND WITCHCRAFT,MAGIC RITUAL WITCHCR,1556-8547,1940-5111,0.1,0.495
MAGNESIUM RESEARCH,MAGNESIUM RES,0953-1424,1952-4021,3.2,0.303
MAGNETIC RESONANCE IMAGING,MAGN RESON IMAGING,0730-725X,1873-5894,2.5,0.678
MAGNETIC RESONANCE IMAGING CLINICS OF NORTH AMERICA,MAGN RESON IMAGING C,1064-9689,1557-9786,1.6,0.507
MAGNETIC RESONANCE IN CHEMISTRY,MAGN RESON CHEM,0749-1581,1097-458X,2,0.378
MAGNETIC RESONANCE IN MEDICAL SCIENCES,MAGN RESON MED SCI,1347-3182,1880-2206,3,0.566
MAGNETIC RESONANCE MATERIALS IN PHYSICS BIOLOGY AND MEDICINE,MAGN RESON MATER PHY,1352-8661,1352-8661,2.3,0.629
